"id";"date";"original_log_id";"edited_log_id"
33;"2022-08-09 14:16:11.362038";243;251
37;"2022-08-09 16:57:35.604677";275;304
32;"2022-08-09 13:53:24.542120";230;232
31;"2022-08-09 13:50:56.452717";229;230
30;"2022-08-09 13:50:36.506641";227;229
29;"2022-08-09 13:28:18.458121";209;211
34;"2022-08-09 14:38:18.918254";260;262
35;"2022-08-09 14:48:16.466809";257;274
41;"2022-08-10 12:16:51.745766";303;313
40;"2022-08-10 07:29:03.485797";305;307
42;"2022-08-10 13:27:35.804246";307;315
38;"2022-08-09 16:58:09.433367";304;305
36;"2022-08-09 15:06:59.474829";248;277
39;"2022-08-10 07:26:26.243665";218;306
43;"2022-08-10 13:52:41.897780";276;317
44;"2022-08-11 04:26:24.910691";320;321
45;"2022-08-11 08:58:48.887071";318;325
46;"2022-08-11 13:10:46.187825";327;334
47;"2022-08-11 13:11:04.684645";326;335
48;"2022-08-11 13:24:02.575050";334;336
49;"2022-08-11 13:32:00.425433";312;337
50;"2022-08-11 14:48:50.038555";336;339
51;"2022-08-11 14:49:03.714861";335;340
52;"2022-08-11 14:49:17.999843";256;341
53;"2022-08-11 15:07:57.519474";343;344
54;"2022-08-11 15:09:00.504582";274;345
55;"2022-08-11 18:04:58.946548";348;350
56;"2022-08-12 13:21:32.033957";352;355
57;"2022-08-12 14:00:34.384710";354;362
58;"2022-08-12 14:00:51.416381";338;363
59;"2022-08-12 14:23:54.292628";372;379
60;"2022-08-13 07:08:39.065314";319;391
61;"2022-08-13 07:08:57.009691";245;392
62;"2022-08-14 07:10:27.803690";306;407
63;"2022-08-14 09:32:04.220271";212;412
64;"2022-08-14 09:33:08.468629";315;413
65;"2022-08-14 09:33:33.836182";410;414
66;"2022-08-14 09:33:48.283163";409;415
67;"2022-08-14 09:34:01.293423";408;416
68;"2022-08-14 09:34:21.215510";407;417
69;"2022-08-14 09:34:34.757407";406;418
70;"2022-08-14 09:34:48.309312";405;419
71;"2022-08-14 09:39:58.680198";404;420
72;"2022-08-14 09:40:32.229690";383;421
73;"2022-08-14 09:40:52.494217";382;422
74;"2022-08-14 09:41:07.897506";381;423
75;"2022-08-14 09:42:22.596655";380;424
76;"2022-08-14 09:43:07.752833";374;425
77;"2022-08-14 09:46:39.677088";353;426
78;"2022-08-14 09:48:11.372903";346;427
79;"2022-08-14 09:48:29.037755";324;428
80;"2022-08-14 09:48:48.997715";323;429
81;"2022-08-14 09:49:03.543403";317;430
82;"2022-08-14 09:49:20.739613";244;431
83;"2022-08-14 09:50:04.431454";216;432
84;"2022-08-14 09:50:25.907763";214;433
85;"2022-08-15 08:29:01.029495";434;435
86;"2022-08-15 08:31:43.200322";411;436
87;"2022-08-15 15:30:16.572030";437;454
88;"2022-08-16 05:15:59.844842";438;455
89;"2022-08-16 08:49:03.566825";456;457
90;"2022-08-16 10:24:56.335320";440;469
91;"2022-08-16 10:25:37.255315";444;472
92;"2022-08-16 10:26:37.122361";403;473
93;"2022-08-16 10:27:04.194287";443;474
94;"2022-08-16 14:24:52.212191";449;491
95;"2022-08-17 11:46:14.635638";490;499
96;"2022-08-18 10:16:39.194502";509;515
97;"2022-08-18 10:17:52.401985";515;516
98;"2022-08-18 11:09:00.229767";355;517
99;"2022-08-18 11:17:50.071667";494;522
100;"2022-08-18 11:50:28.406364";517;524
101;"2022-08-18 14:18:08.568798";532;533
102;"2022-08-18 14:22:03.793445";536;537
103;"2022-08-18 14:22:25.246735";537;538
104;"2022-08-18 14:30:21.675195";543;544
105;"2022-08-18 15:04:06.451751";570;571
106;"2022-08-19 06:35:10.441858";514;576
107;"2022-08-19 06:35:26.956195";518;577
108;"2022-08-19 06:35:44.120083";493;578
109;"2022-08-19 06:36:09.870477";445;579
110;"2022-08-19 06:36:29.613969";523;580
111;"2022-08-19 06:36:45.522876";511;581
112;"2022-08-19 06:37:03.052652";457;582
113;"2022-08-19 06:37:34.014105";458;583
114;"2022-08-19 06:38:03.196145";398;584
115;"2022-08-19 13:31:21.328527";596;598
116;"2022-08-20 10:25:50.654668";597;614
117;"2022-08-22 11:25:50.582356";614;636
118;"2022-08-22 13:35:10.768230";644;645
119;"2022-08-22 13:35:56.396480";634;646
120;"2022-08-25 08:00:03.369644";592;705
121;"2022-08-25 08:00:41.602313";637;706
122;"2022-08-25 08:27:08.202796";711;712
123;"2022-08-26 08:44:49.201662";740;742
124;"2022-08-26 08:46:59.653770";733;744
125;"2022-08-26 08:54:17.787717";641;748
126;"2022-08-26 08:54:44.469006";703;749
127;"2022-08-26 08:55:01.013153";736;750
128;"2022-08-26 08:55:06.258260";750;751
129;"2022-08-26 12:40:55.114889";698;804
130;"2022-08-26 12:41:04.286605";698;805
131;"2022-08-26 12:42:23.294252";804;806
132;"2022-08-26 13:38:00.935434";793;810
133;"2022-08-26 15:04:14.801134";806;812
134;"2022-08-26 15:05:15.343881";811;813
135;"2022-08-30 13:01:57.386633";827;874
136;"2022-08-30 15:40:20.865479";903;904
137;"2022-08-31 07:36:20.299170";869;907
138;"2022-08-31 12:21:50.509016";892;911
139;"2022-08-31 12:21:58.004581";910;912
140;"2022-08-31 15:08:45.674843";914;919
